Date, Time, Temperature (C), Humidity (%)
2020-08-15,00:30:00,26.47,45.43
2020-08-15,01:00:00,26.43,44.59
2020-08-15,01:30:00,26.16,44.83
2020-08-15,02:00:00,26.02,45.24
2020-08-15,02:30:00,25.86,45.17
2020-08-15,03:00:00,25.80,44.80
2020-08-15,03:30:00,25.67,44.45
2020-08-15,04:00:00,25.61,44.58
2020-08-15,04:30:00,25.79,43.95
2020-08-15,05:00:00,25.53,44.45
2020-08-15,05:30:00,25.60,44.18
2020-08-15,06:00:00,25.19,45.12
2020-08-15,06:30:00,25.42,44.84
2020-08-15,07:00:00,25.47,44.76
2020-08-15,07:30:00,25.23,45.33
2020-08-15,08:00:00,25.24,45.19
2020-08-15,08:30:00,25.23,45.35
2020-08-15,09:00:00,25.43,44.67
2020-08-15,09:30:00,25.78,44.20
2020-08-15,10:00:00,25.93,43.10
2020-08-15,10:30:00,25.98,43.50
2020-08-15,11:00:00,26.16,45.71
2020-08-15,11:30:00,26.31,44.32
2020-08-15,12:00:00,26.48,43.49
2020-08-15,12:30:00,26.51,42.53
2020-08-15,13:00:00,26.78,44.13
2020-08-15,13:30:00,26.90,44.00
2020-08-15,14:00:00,27.07,43.58
2020-08-15,14:30:00,27.31,45.86
2020-08-15,15:00:00,27.36,46.38
2020-08-15,15:30:00,27.45,46.44
2020-08-15,16:00:00,27.66,47.77
2020-08-15,16:30:00,27.31,48.91
2020-08-15,17:00:00,27.32,48.29
2020-08-15,17:30:00,27.19,48.42
2020-08-15,18:00:00,26.85,49.11
2020-08-15,18:30:00,26.54,50.07
2020-08-15,19:00:00,26.35,50.46
2020-08-15,19:30:00,26.07,50.93
2020-08-15,20:00:00,25.83,51.49
2020-08-15,20:30:00,25.67,51.30
2020-08-15,21:00:00,25.46,51.59
2020-08-15,21:30:00,25.24,52.13
2020-08-15,22:00:00,24.99,52.67
2020-08-15,22:30:00,24.93,52.98
2020-08-15,23:00:00,24.86,53.04
2020-08-15,23:30:00,24.76,53.39
2020-08-16,00:00:00,24.61,53.56
2020-08-16,00:30:00,24.43,54.36
2020-08-16,01:00:00,24.40,54.11
2020-08-16,01:30:00,24.34,53.94
2020-08-16,02:00:00,24.43,53.32
2020-08-16,02:30:00,24.41,52.92
2020-08-16,03:00:00,24.31,53.92
2020-08-16,03:30:00,24.10,54.55
2020-08-16,04:00:00,23.98,54.92
2020-08-16,04:30:00,23.94,54.35
2020-08-16,05:00:00,23.86,54.49
2020-08-16,05:30:00,23.91,54.64
2020-08-16,06:00:00,23.55,55.76
2020-08-16,06:30:00,23.53,56.04
2020-08-16,07:00:00,23.60,55.65
2020-08-16,07:30:00,23.51,56.16
2020-08-16,08:00:00,23.43,56.33
2020-08-16,08:30:00,23.56,56.21
2020-08-16,09:00:00,23.40,56.61
2020-08-16,09:30:00,23.22,58.87
2020-08-16,10:00:00,22.97,61.76
2020-08-16,10:30:00,23.22,61.53
2020-08-16,11:00:00,23.54,60.05
2020-08-16,11:30:00,23.82,58.47
2020-08-16,12:00:00,23.96,57.51
2020-08-16,12:30:00,23.98,57.33
2020-08-16,13:00:00,24.05,56.21
2020-08-16,13:30:00,24.09,55.85
2020-08-16,14:00:00,24.25,55.37
2020-08-16,14:30:00,24.32,54.85
2020-08-16,15:00:00,24.42,55.22
2020-08-16,15:30:00,24.53,54.46
